"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛署藥製字第050005號","""德聯"" 益舒寧膠囊","Peaceful Capsules ""T.L.""","膠囊","","黃;;;白","","無","20",,,"https://mcp.fda.gov.tw/insert/shapeImg/d6df9858-fcd1-4e66-b213-f7d23c249ce5?c=o"
"衛署藥製字第050008號","友樂可錠10毫克","Uracare Tablets 10mg","圓形","","藍","","無","8","TP10",,"https://mcp.fda.gov.tw/insert/shapeImg/86f561a9-e05b-4e08-adc2-9378b81d4676?c=o"
"衛署藥製字第050010號","“強生”莫吐安 膜衣錠 10 毫克","MOTEN F.C. TABLETS 10MG“JOHNSON”","圓形","","白","","無","6.4","J",,"https://mcp.fda.gov.tw/insert/shapeImg/5a80394b-121e-4129-b9fb-8c1d2bcfcc87?c=o"
"衛署藥製字第050015號","〝元宙〞碳酸氫鈉錠 0.3 公克","Sodium Bicarbonate Tablets 0.3 Gm“Y.C.”","圓形","","白","","直線","10","R",,"https://mcp.fda.gov.tw/insert/shapeImg/3e98665e-9fc3-4209-8912-df468283ac7e_img_1?c=o"
"衛署藥製字第050016號","“新瑞”邁慮煩 膜衣錠 15 毫克","Minivane F.C. Tablets 15mg“synray”","橢圓形","","黃","","直線","12.5","S W",,"https://mcp.fda.gov.tw/insert/shapeImg/ffa050e7-e5f1-492a-b072-aa6886325e3e?c=o"
"衛署藥製字第050027號","欣行健錠 100 毫克","Pleya Tablets 100 mg","圓形","","白","","直線","8.1","YSP 199",,"https://mcp.fda.gov.tw/insert/shapeImg/df24ff07-8ef0-46f2-9bb9-05cdf222562f?c=o"
"衛署藥製字第050030號","""黃氏"" 咳紓安錠","Coughfree Tablets ""H.S.""","橢圓形","","黃","","直線","10","H S",,"https://mcp.fda.gov.tw/insert/shapeImg/07f50dc4-237c-4f58-a130-d8c1d44d0c11?c=o"
"衛署藥製字第050032號","""十全"" 莫伏炎錠","Mobufen Tablets","橢圓形","","白","","直線","17.4","SC M7",,"https://mcp.fda.gov.tw/insert/shapeImg/54fd5faf-c970-4200-a312-b5f55077f957?c=o"
"衛署藥製字第050033號","胃逆舒口服懸浮液","Alginos Oral Suspension","液劑(包含糖漿用粉劑)","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/a920d8de-68f0-4b85-b3e4-52961649c095_img_1?c=o"
"衛署藥製字第050036號","康平癲膠囊 400 毫克","Gapatin Capsules 400mg","膠囊","","橘;;;橘","","無","22","GAH",,"https://mcp.fda.gov.tw/insert/shapeImg/0373fa99-869f-4f32-8253-c2940bc1ab1c?c=o"
"衛署藥製字第050037號","妙化肝膜衣錠","Miyaphargen Film Coated Tablets","圓形","","白","","無","8","ST","045","https://mcp.fda.gov.tw/insert/shapeImg/7cace1ba-00d2-41d1-a7d9-e3a2793bc656?c=o"
"衛署藥製字第050043號","比非醣錠 15 毫克","Befree Tablets 15 mg","圓形","","白","","直線","5",,,"https://mcp.fda.gov.tw/insert/shapeImg/1b5b49f7-567e-4825-a00a-44217b0efd9d?c=o"
"衛署藥製字第050054號","安平靜膜衣錠 5 毫克","Fute F.C. Tablets 5mg","圓形","","紅","","直線","9","EB","5","https://mcp.fda.gov.tw/insert/shapeImg/7b89b0dc-df8f-43c0-a907-550270791bf7_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/b556cc5e-5de7-4153-9920-2fcf827c0c64?c=o"
"衛署藥製字第050058號","“黃氏”欣百寧膠囊","Esumian Capsules“H.S.”","膠囊","","綠;;;綠","","無","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/d4d27c3b-5c54-4e93-9386-f8bf85e4aa8e?c=o"
"衛署藥製字第050061號","必脈律 膜衣錠 5 毫克","Biteven F.C. Tablets 5 mg","其他","","黃","","直線","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/8d21ccbb-3427-4a32-948e-68c2a9a844ee?c=o"
"衛署藥製字第050083號","康緒舒膜衣錠 25 毫克","Calm-EZ F.C. Tablets 25mg","圓形","","橘","","無","6","S",,"https://mcp.fda.gov.tw/insert/shapeImg/7c7ba3a2-19b9-4328-af2d-423b4338767d?c=o"
"衛署藥製字第050084號","“正和”抑醣錠 50 毫克","Diaban Tablets 50 mg“C.H.”","圓形","","白","","直線","7","CH 64",,"https://mcp.fda.gov.tw/insert/shapeImg/08163dfa-a080-4cf4-afb4-6622274a92e7?c=o"
"衛署藥製字第050087號","悅脂益膜衣錠 160 毫克","Fendown F.C. Tablets 160mg","橢圓形","","白","","無","20","AX079","160","https://mcp.fda.gov.tw/insert/shapeImg/f09ce370-8b50-4299-85a0-d782275920e8_img_1?c=o"
"衛署藥製字第050095號","脈化寧 錠 5 毫克","Mafarin Tablets 5 mg","圓形","","紅","","直線","9","MF 5",,"https://mcp.fda.gov.tw/insert/shapeImg/4f672674-4edf-4396-af89-b3b026badafa?c=o"
